"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"78","Thursday","07:00","PTEA-EI-4+PTEB-EI-4","E0451-EL343-2-SENSOR DAN TRANSDUSER ","YYS+REP","","02.03.04 - RUANG TE LAMA",""
"78","Thursday","07:50","PTEA-EI-4+PTEB-EI-4","E0451-EL343-2-SENSOR DAN TRANSDUSER ","YYS+REP","","02.03.04 - RUANG TE LAMA",""
"79","Tuesday","07:00","PTEA-EI-4+PTEB-EI-4","E0451-EL344-2-ELEKTRONIKA DAYA ","DLH","","02.03.02 - RUANG PTE LAMA",""
"79","Tuesday","07:50","PTEA-EI-4+PTEB-EI-4","E0451-EL344-2-ELEKTRONIKA DAYA ","DLH","","02.03.02 - RUANG PTE LAMA",""
"81","Monday","10:20","PTEA-EK-4+PTEB-EK-4","E0451-EL345-2-MEDAN ELEKTROMAGNETIK LANJUT","JKR+SLH","","405.1.04.124 - RUANG PTE",""
"81","Monday","11:10","PTEA-EK-4+PTEB-EK-4","E0451-EL345-2-MEDAN ELEKTROMAGNETIK LANJUT","JKR+SLH","","405.1.04.124 - RUANG PTE",""
"82","Tuesday","07:00","PTEA-EK-4+PTEB-EK-4","E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS","","Lab-TELKOM",""
"82","Tuesday","07:50","PTEA-EK-4+PTEB-EK-4","E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS","","Lab-TELKOM",""
"82","Tuesday","08:40","PTEA-EK-4+PTEB-EK-4","E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS","","Lab-TELKOM",""
"82","Tuesday","09:30","PTEA-EK-4+PTEB-EK-4","E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS","","Lab-TELKOM",""
"82","Tuesday","10:20","PTEA-EK-4+PTEB-EK-4","E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS","","Lab-TELKOM",""
"83","Wednesday","10:20","PTEA-EK-4+PTEB-EK-4","E0451-EL347-2-SISTEM KOMUNIKASI ANALOG ","ARJ","","405.1.04.133 - RUANG D3",""
"83","Wednesday","11:10","PTEA-EK-4+PTEB-EK-4","E0451-EL347-2-SISTEM KOMUNIKASI ANALOG ","ARJ","","405.1.04.133 - RUANG D3",""
"84","Monday","07:00","PTEB-EK-4+PTEA-EK-4","E0451-EL348-3-REKAYASA TRAFIK TELEKOMUNIKASI","ARJ+SLH","","R. SEMINAR ELIND",""
"84","Monday","07:50","PTEB-EK-4+PTEA-EK-4","E0451-EL348-3-REKAYASA TRAFIK TELEKOMUNIKASI","ARJ+SLH","","R. SEMINAR ELIND",""
"84","Monday","08:40","PTEB-EK-4+PTEA-EK-4","E0451-EL348-3-REKAYASA TRAFIK TELEKOMUNIKASI","ARJ+SLH","","R. SEMINAR ELIND",""
"86","Monday","13:00","PTEA-TTE-4+PTEB-TTE-4","E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR+ELM","","Lab-TTE",""
"86","Monday","13:50","PTEA-TTE-4+PTEB-TTE-4","E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR+ELM","","Lab-TTE",""
"86","Monday","14:40","PTEA-TTE-4+PTEB-TTE-4","E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR+ELM","","Lab-TTE",""
"86","Monday","15:30","PTEA-TTE-4+PTEB-TTE-4","E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR+ELM","","Lab-TTE",""
"86","Monday","16:20","PTEA-TTE-4+PTEB-TTE-4","E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR+ELM","","Lab-TTE",""
"87","Wednesday","10:20","PTEA-TTE-4+PTEB-TTE-4","E0451-EL440-2-MESIN DC DAN TRANSFORMATOR","SMT+WAS","","405.1.04.130- LAB. KOMPUTER",""
"87","Wednesday","11:10","PTEA-TTE-4+PTEB-TTE-4","E0451-EL440-2-MESIN DC DAN TRANSFORMATOR","SMT+WAS","","405.1.04.130- LAB. KOMPUTER",""
"88","Wednesday","07:00","PTEA-TTE-4+PTEB-TTE-4","E0451-EL441-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","R. SEMINAR TELKOM",""
"88","Wednesday","07:50","PTEA-TTE-4+PTEB-TTE-4","E0451-EL441-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","R. SEMINAR TELKOM",""
"89","Tuesday","15:30","PTEA-TTE-4+PTEB-TTE-4","E0451-EL442-2-SISTEM DISTRIBUSI TENAGA LISTRIK","IWR","","405.1.04.124 - RUANG PTE",""
"89","Tuesday","16:20","PTEA-TTE-4+PTEB-TTE-4","E0451-EL442-2-SISTEM DISTRIBUSI TENAGA LISTRIK","IWR","","405.1.04.124 - RUANG PTE",""
"91","Monday","07:00","PTEA-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","R. SEMINAR TELKOM",""
"91","Monday","07:50","PTEA-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","R. SEMINAR TELKOM",""
"91","Monday","08:40","PTEA-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","R. SEMINAR TELKOM",""
"92","Thursday","08:40","PTEB-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","02.03.04 - RUANG TE LAMA",""
"92","Thursday","09:30","PTEB-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","02.03.04 - RUANG TE LAMA",""
"92","Thursday","10:20","PTEB-6","E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH","","02.03.04 - RUANG TE LAMA",""
"93","Tuesday","15:30","PTEA-6","E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","ELM+HSB","","02.03.04 - RUANG TE LAMA",""
"93","Tuesday","16:20","PTEA-6","E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","ELM+HSB","","02.03.04 - RUANG TE LAMA",""
"94","Wednesday","13:50","PTEB-6","E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+SSE+HLD","","405.1.04.124 - RUANG PTE",""
"94","Wednesday","14:40","PTEB-6","E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+SSE+HLD","","405.1.04.124 - RUANG PTE",""
"96","Thursday","13:00","PTEA-EI-6+PTEB-EI-6","E0451-EL361-2-OTOMASI INDUSTRI","ERH+DDW","","R. SEMINAR TELKOM",""
"96","Thursday","13:50","PTEA-EI-6+PTEB-EI-6","E0451-EL361-2-OTOMASI INDUSTRI","ERH+DDW","","R. SEMINAR TELKOM",""
"97","Tuesday","07:50","PTEB-EI-6+PTEA-EI-6","E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS+ERH","","Lab-ELIND",""
"97","Tuesday","08:40","PTEB-EI-6+PTEA-EI-6","E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS+ERH","","Lab-ELIND",""
"97","Tuesday","09:30","PTEB-EI-6+PTEA-EI-6","E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS+ERH","","Lab-ELIND",""
"97","Tuesday","10:20","PTEB-EI-6+PTEA-EI-6","E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS+ERH","","Lab-ELIND",""
"97","Tuesday","11:10","PTEB-EI-6+PTEA-EI-6","E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS+ERH","","Lab-ELIND",""
"99","Tuesday","09:30","PTEA-EK-6","E0451-EL363-3-SISTEM KOMUNIKASI DIGITAL","ARJ+NFA","","02.03.01 - RUANG D3 LAMA",""
"99","Tuesday","10:20","PTEA-EK-6","E0451-EL363-3-SISTEM KOMUNIKASI DIGITAL","ARJ+NFA","","02.03.01 - RUANG D3 LAMA",""
"99","Tuesday","11:10","PTEA-EK-6","E0451-EL363-3-SISTEM KOMUNIKASI DIGITAL","ARJ+NFA","","02.03.01 - RUANG D3 LAMA",""
"100","Wednesday","07:50","PTEB-EK-6","E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR+SLH","","Lab-TELKOM",""
"100","Wednesday","08:40","PTEB-EK-6","E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR+SLH","","Lab-TELKOM",""
"100","Wednesday","09:30","PTEB-EK-6","E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR+SLH","","Lab-TELKOM",""
"100","Wednesday","10:20","PTEB-EK-6","E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR+SLH","","Lab-TELKOM",""
"100","Wednesday","11:10","PTEB-EK-6","E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR+SLH","","Lab-TELKOM",""
"102","Tuesday","07:00","PTEA-TTE-6+PTEB-TTE-6","E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR+MMS","","Lab-TTE",""
"102","Tuesday","07:50","PTEA-TTE-6+PTEB-TTE-6","E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR+MMS","","Lab-TTE",""
"102","Tuesday","08:40","PTEA-TTE-6+PTEB-TTE-6","E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR+MMS","","Lab-TTE",""
"102","Tuesday","09:30","PTEA-TTE-6+PTEB-TTE-6","E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR+MMS","","Lab-TTE",""
"102","Tuesday","10:20","PTEA-TTE-6+PTEB-TTE-6","E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR+MMS","","Lab-TTE",""
"103","Tuesday","13:50","PTEA-TTE-6+PTEB-TTE-6","E0451-EL365-2-ANALISIS SISTEM TENAGA LISTRIK","YDM+NPA","","Lab-ELIND",""
"103","Tuesday","14:40","PTEA-TTE-6+PTEB-TTE-6","E0451-EL365-2-ANALISIS SISTEM TENAGA LISTRIK","YDM+NPA","","Lab-ELIND",""
"104","Wednesday","09:30","PTEA-TTE-6+PTEB-TTE-6","E0451-EL367-2-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+HSB","","02.03.04 - RUANG TE LAMA",""
"104","Wednesday","10:20","PTEA-TTE-6+PTEB-TTE-6","E0451-EL367-2-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+HSB","","02.03.04 - RUANG TE LAMA",""
"106","Wednesday","10:20","PTEA-EI-6+PTEB-EI-6","E0451-EL461-2-ROBOTIKA**","ERH+MAR","","02.03.03 EX LABKOMP",""
"106","Wednesday","11:10","PTEA-EI-6+PTEB-EI-6","E0451-EL461-2-ROBOTIKA**","ERH+MAR","","02.03.03 EX LABKOMP",""
"107","Wednesday","07:00","PTEB-EI-6+PTEA-EI-6","E0451-EL460-2-SISTEM TERTANAM DAN IoT**","DDW+MAR","","02.03.02 - RUANG PTE LAMA",""
"107","Wednesday","07:50","PTEB-EI-6+PTEA-EI-6","E0451-EL460-2-SISTEM TERTANAM DAN IoT**","DDW+MAR","","02.03.02 - RUANG PTE LAMA",""
"108","Monday","13:00","PTEA-EI-6+PTEB-EI-6","E0451-EL462-2-VISI KOMPUTER** ","ERH+DDW","","02.03.04 - RUANG TE LAMA",""
