"Students Sets","Subject","Teachers","Activity Tags","Total Duration","Split Duration","Min Days","Weight","Consecutive"
"2018*TE-EK-6","2018-6-DPTE-E5051-EE412-3-PERANGKAT LUNAK TELEKOMUNIKASI (P)","DDW/2934","",3,"3",,,
"2018*TE-EK-6","2018-6-DPTE-E5051-EE416-2-TEORI INFORMASI (P)","INK/2338","",2,"2",,,
"","*SEM-8 TE","","",1,"",,,
"2017*TE-EK-8+2017*TE-TTE-8","2018-8-DPTE-E5051-EE592-4-PRAKTIK KERJA","","",1,"",,,
"TE2017","2018-8-DPTE-E5051-EE594-2-KAPITA SELEKTA","TSM/1748","",2,"2",,,
"","*SEM-2 PTE","","",1,"",,,
"2020*PTEA-2","2018-2-DPTE-E0451-EL121-2-MATERIAL TEKNIK ELEKTRO","WWP/1848","",2,"2",,,
"2020*PTEB-2","2018-2-DPTE-E0451-EL121-2-MATERIAL TEKNIK ELEKTRO","BMY/1846+TLH","",2,"2",,,
"2020*PTEA-2","2018-2-DPTE-E0451-EL123-3-MATEMATIKA TEKNIK I","AGF/2055","",3,"3",,,
"2020*PTEB-2","2018-2-DPTE-E0451-EL123-3-MATEMATIKA TEKNIK I","AIP/2355","",3,"3",,,
"2020*PTEA-2","2018-2-DPTE-E0451-EL122-2-PRAKTIKUM BENGKEL TEKNIK ELEKTRO DAN KESELAMATAN KERJA","TSR/1038+SSE/2202","",5,"5",,,
"2020*PTEB-2","2018-2-DPTE-E0451-EL122-2-PRAKTIKUM BENGKEL TEKNIK ELEKTRO DAN KESELAMATAN KERJA","SSE/2202+TSR/1038","",5,"5",,,
"2020*PTEA-2","2018-2-DPTE-E0451-EL124-2-METODE PENGUKURAN","ELM/1751+WAS/2107","",2,"2",,,
"2020*PTEB-2","2018-2-DPTE-E0451-EL124-2-METODE PENGUKURAN","WAS/2107+ELM/1751","",2,"2",,,
"2020*PTEA-2","2018-2-DPTE-E0451-EL221-3-FISIKA II ","BMY/1846+MAQ/3204","",3,"3",,,
"2020*PTEB-2","2018-2-DPTE-E0451-EL221-3-FISIKA II ","WWP/1848","",3,"3",,,
"","*SEM-4 PTE","","",1,"",,,
"2019*PTEA-4","2018-4-DPTE-E0451-EL240-3-RANGKAIAN LISTRIK II ","TSM/1748","",3,"3",,,
"2019*PTEB-4","2018-4-DPTE-E0451-EL240-3-RANGKAIAN LISTRIK II ","TSM/1748","",3,"3",,,
"2019*PTEA-4","2018-4-DPTE-E0451-EL241-2-TEKNIK DIGITAL","YYS/0766+RPR/3172","",2,"2",,,
"2019*PTEB-4","2018-4-DPTE-E0451-EL241-2-TEKNIK DIGITAL","SSE/2202+TSR/1038","",2,"2",,,
"2019*PTEA-4","2018-4-DPTE-E0451-KD303-2-KURIKULUM DAN PEMBELAJARAN","MKH/0535","",2,"2",,,
"2019*PTEB-4","2018-4-DPTE-E0451-KD303-2-KURIKULUM DAN PEMBELAJARAN","MKH/0535","",2,"2",,,
"","*SEM-4 PTE-EI","","",1,"",,,
"2019*PTE-EI-4","2018-4-DPTE-E0451-EL340-2-PRAKTIKUM ELEKTRONIKA ANALOG","DNK/2654+RPR/3172","",5,"5",,,
"2019*PTE-EI-4","2018-4-DPTE-E0451-EL341-2-ELEKTRONIKA LANJUT","INK/2338","",2,"2",,,
"2019*PTE-EI-4","2018-4-DPTE-E0451-EL342-2-KOMPUTASI DAN ANALISIS NUMERIK","DNK/2654","",2,"2",,,
"2019*PTE-EI-4","2018-4-DPTE-E0451-EL343-2-SENSOR DAN TRANSDUSER ","YYS/0766+REP/3186","",2,"2",,,
"2019*PTE-EI-4","2018-4-DPTE-E0451-EL344-2-ELEKTRONIKA DAYA ","DLH/2409","",2,"2",,,
"","*SEM-4 PTE-EK","","",1,"",,,
"2019*PTE-EK-4","2018-4-DPTE-E0451-EL345-2-MEDAN ELEKTROMAGNETIK LANJUT","JKR/0767+SLH","",2,"2",,,
"2019*PTE-EK-4","2018-4-DPTE-E0451-EL346-2-PRAKTIKUM SISKOM ANALOG DAN TEKNIK DIGITAL","AHS/2410","",5,"5",,,
"2019*PTE-EK-4","2018-4-DPTE-E0451-EL347-2-SISTEM KOMUNIKASI ANALOG ","ARJ/2108","",2,"2",,,
"2019*PTE-EK-4","2018-4-DPTE-E0451-EL348-3-REKAYASA TRAFIK TELEKOMUNIKASI","ARJ/2108+SLH","",3,"3",,,
"","*SEM-4 PTE-TTE","","",1,"",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL349-2-PRAKTIKUM PENGUKURAN LISTRIK","IWR/1036+ELM/1751","",5,"5",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL440-2-MESIN DC DAN TRANSFORMATOR","SMT/0541+WAS/2107","",2,"2",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL441-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM/1766+NPA","",2,"2",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL442-2-SISTEM DISTRIBUSI TENAGA LISTRIK","IWR/1036+MSR/2094","",2,"2",,,
"","*SEM-6 PTE","","",1,"",,,
"2018*PTEA-6","2018-6-DPTE-E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH/0535","",3,"3",,,
"2018*PTEB-6","2018-6-DPTE-E0451-EL372-3-PERENCANAAN PEMBELAJARAN BIDANG STUDI","MKH/0535","",3,"3",,,
"2018*PTEA-6","2018-6-DPTE-E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","ELM/1751+HSB/2408","",2,"2",,,
"2018*PTEB-6","2018-6-DPTE-E0451-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR/2094+SSE/2202+HLD","",2,"2",,,
"","*SEM-6 PTE-EI","","",1,"",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL361-2-OTOMASI INDUSTRI","ERH/2407+DDW/2934","",2,"2",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL360-2-PRAKTIKUM SENSOR DAN SISTEM MIKROPROSESOR","YYS/0766+ERH/2407","",5,"5",,,
"","*SEM-6 PTE-EK","","",1,"",,,
"2018*PTE-EK-6","2018-6-DPTE-E0451-EL363-3-SISTEM KOMUNIKASI DIGITAL","ARJ/2108+NFA/3179","",3,"3",,,
"2018*PTE-EK-6","2018-6-DPTE-E0451-EL364-2-PRAKTIKUM SISTEM KOMUNIKASI DAN TRANSMISI SINYAL","TSR/1038+SLH","",5,"5",,,
"","*SEM-6 PTE-TTE","","",1,"",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL366-2-PRAKTIKUM MESIN LISTRIK","IWR/1036+MMS/2203","",5,"5",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL365-2-ANALISIS SISTEM TENAGA LISTRIK","YDM/1766+NPA","",2,"2",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL367-2-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM/1748+HSB/2408","",2,"2",,,
"","*SEM-6 PTE-EI PILIHAN","","",1,"",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL461-2-ROBOTIKA**","ERH/2407+MAR/3178","",2,"2",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL460-2-SISTEM TERTANAM DAN IoT**","DDW/2934","",2,"2",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL462-2-VISI KOMPUTER** ","DNK/2654","",2,"2",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL463-2-PERANCANGAN SISTEM ELEKTRONIKA**","INK/2338","",2,"2",,,
"","*SEM-6 PTE-EK PILIHAN","","",1,"",,,
"2018*PTE-EK-6","2018-6-DPTE-E0451-EL464-3-ANTENA DAN PROPAGASI**","AHS/2410","",3,"3",,,
"2018*PTE-EK-6","2018-6-DPTE-E0451-EL465-3-SISTEM KOMUNIKASI OPTIK**","ARJ/2108","",3,"3",,,
"2018*PTE-EK-6","2018-6-DPTE-E0451-EL466-2-KOMUNIKASI DATA**","EAJ/0755+AHS/2410","",2,"2",,,
"","*SEM-6 PTE-TTE PILIHAN","","",1,"",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL467-2-ELEKTRONIKA DAYA **","DLH/2409","",2,"2",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL468-2-OTOMASI KELISTRIKAN INDUSTRI**","YYS/0766+MMS/2203","",2,"2",,,
"2018*PTE-TTE-6","2018-6-DPTE-E0451-EL469-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","SMT/0541+WAS/2107","",2,"2",,,
"","*SEM-T","","",1,"",,,
"2018*TE01-6","2018-5-DPTE-E5051-EE311-2-METODOLOGI PENELITIAN","AGF/2055","",2,"2",,,
"2018*TE02-6","2018-5-DPTE-E5051-EE311-2-METODOLOGI PENELITIAN","AGF/2055","",2,"2",,,
"2018*TE-TTE-6","2018-7-DPTE-E5051-EE411-3-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM/1748","",2,"2",,,
"2016*PTE-TTE-8","2018-7-DPTE-E0451-EL476-2-KELISTRIKAN OTOMOTIF**","MMS/2203+NPA","",2,"2",,,
"2016*PTE-TTE-8","2018-7-DPTE-E0451-EL478-2-KELISTRIKAN REFRIGASI DAN TATA UDARA**","IWR/1036","",2,"2",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL445-2-ENERGI BARU DAN TERBARUKAN**","BTM/1235","",2,"2",,,
"2019*TE01-4","2018-5-DPTE-E5051-EE208-2-TECHNOPRENEURSHIP","BTM/1235+BCH/0539","",2,"2",,,
"2019*TE02-4","2018-5-DPTE-E5051-EE208-2-TECHNOPRENEURSHIP","BCH/0539+BTM/1235+AJI","",2,"2",,,
"2018*PTE-EI-6","2018-6-DPTE-E0451-EL470-2-SCADA**","ERH/2407+MAR/3178","",2,"2",,,
"2017*TE-TTE-8","2018-7-DPTE-E5051-EE501-2-OTOMASI INDUSTRI (P)","DDW/2934+ERH/2407","",2,"2",,,
