"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"93","Wednesday","11:10","PTEB-3","E0451-EL237-2-SISTEM KENDALI","DLH","","B1-133-TE",""
"94","Tuesday","09:30","PTEA-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-04-EX KOMP",""
"94","Tuesday","10:20","PTEA-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-04-EX KOMP",""
"94","Tuesday","11:10","PTEA-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-04-EX KOMP",""
"95","Thursday","13:00","PTEB-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-02-TE",""
"95","Thursday","13:50","PTEB-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-02-TE",""
"95","Thursday","14:40","PTEB-3","E0451-EL238-3-RANGKAIAN LISTRIK I","TSM","","B2-02-TE",""
"96","Tuesday","15:30","PTEA-3","E0451-EL239-2-SINYAL DAN SISTEM","DNK","","B2-02-TE",""
"96","Tuesday","16:20","PTEA-3","E0451-EL239-2-SINYAL DAN SISTEM","DNK","","B2-02-TE",""
"97","Wednesday","15:30","PTEB-3","E0451-EL239-2-SINYAL DAN SISTEM","DNK","","B2-03-PTOIR",""
"97","Wednesday","16:20","PTEB-3","E0451-EL239-2-SINYAL DAN SISTEM","DNK","","B2-03-PTOIR",""
"98","Monday","13:00","PTEA-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS+MAR","","B2-01-PTE",""
"98","Monday","13:50","PTEA-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS+MAR","","B2-01-PTE",""
"98","Monday","14:40","PTEA-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS+MAR","","B2-01-PTE",""
"99","Wednesday","13:00","PTEB-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS","","B2-03-PTOIR",""
"99","Wednesday","13:50","PTEB-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS","","B2-03-PTOIR",""
"99","Wednesday","14:40","PTEB-5","E0451-EL251-3-SISTEM MIKROPROSESOR","YYS","","B2-03-PTOIR",""
"100","Wednesday","14:40","PTEA-5","E0451-EL370-3-STRATEGI PEMBELAJARAN TEKNIK ELEKTRO","MKH","","B2-02-TE",""
"100","Wednesday","15:30","PTEA-5","E0451-EL370-3-STRATEGI PEMBELAJARAN TEKNIK ELEKTRO","MKH","","B2-02-TE",""
"100","Wednesday","16:20","PTEA-5","E0451-EL370-3-STRATEGI PEMBELAJARAN TEKNIK ELEKTRO","MKH","","B2-02-TE",""
"101","Thursday","14:40","PTEB-5","E0451-EL370-3-STRATEGI PEMBELAJARAN TEKNIK ELEKTRO","MKH","","B2-01-PTE",""
"101","Thursday","15:30","PTEB-5","E0451-EL370-3-STRATEGI PEMBELAJARAN TEKNIK ELEKTRO","MKH","","B2-01-PTE",""
