"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"2","Tuesday","07:00","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.133 - RUANG PTOIR",""
"2","Tuesday","07:50","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.133 - RUANG PTOIR",""
"2","Tuesday","08:40","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.133 - RUANG PTOIR",""
"3","Wednesday","14:40","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"3","Wednesday","15:30","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"3","Wednesday","16:20","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"4","Monday","09:30","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.132 - RUANG TE",""
"4","Monday","10:20","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.132 - RUANG TE",""
"4","Monday","11:10","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.132 - RUANG TE",""
"5","Wednesday","07:00","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.133 - RUANG PTOIR",""
"5","Wednesday","07:50","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.133 - RUANG PTOIR",""
"5","Wednesday","08:40","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.133 - RUANG PTOIR",""
"6","Tuesday","13:00","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.124 - RUANG PTE",""
"6","Tuesday","13:50","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.124 - RUANG PTE",""
"6","Tuesday","14:40","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.124 - RUANG PTE",""
"7","Thursday","08:40","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.133 - RUANG PTOIR",""
"7","Thursday","09:30","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.133 - RUANG PTOIR",""
"7","Thursday","10:20","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.133 - RUANG PTOIR",""
"8","Wednesday","07:00","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-ELDAS",""
"8","Wednesday","07:50","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-ELDAS",""
"8","Wednesday","08:40","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-ELDAS",""
"8","Wednesday","09:30","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-ELDAS",""
"8","Wednesday","10:20","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-ELDAS",""
"9","Monday","07:00","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-ELDAS",""
"9","Monday","07:50","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-ELDAS",""
"9","Monday","08:40","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-ELDAS",""
"9","Monday","09:30","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-ELDAS",""
"9","Monday","10:20","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-ELDAS",""
"11","Thursday","07:50","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"11","Thursday","08:40","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"11","Thursday","09:30","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"12","Monday","13:00","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.02 - RUANG PTE LAMA",""
"12","Monday","13:50","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.02 - RUANG PTE LAMA",""
"12","Monday","14:40","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.02 - RUANG PTE LAMA",""
