"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"25","Tuesday","10:20","TE01-3","E5051-EE211-3-MEDAN ELEKTROMAGNETIK I","JKR","","",""
"26","Thursday","13:00","TE02-3","E5051-EE211-3-MEDAN ELEKTROMAGNETIK I","BMY+ADN","","",""
"26","Thursday","13:50","TE02-3","E5051-EE211-3-MEDAN ELEKTROMAGNETIK I","BMY+ADN","","",""
"26","Thursday","14:40","TE02-3","E5051-EE211-3-MEDAN ELEKTROMAGNETIK I","BMY+ADN","","",""
"27","Thursday","07:00","TE01-3","E5051-EE213-2-PRAKTIKUM PENGUKURAN LISTRIK DAN ELEKTRONIKA","HSB+SSE","PRAKTIKUM","",""
"27","Thursday","07:50","TE01-3","E5051-EE213-2-PRAKTIKUM PENGUKURAN LISTRIK DAN ELEKTRONIKA","HSB+SSE","PRAKTIKUM","",""
"28","Monday","09:30","TE02-3","E5051-EE213-2-PRAKTIKUM PENGUKURAN LISTRIK DAN ELEKTRONIKA","HSB+AHS","PRAKTIKUM","",""
"28","Monday","10:20","TE02-3","E5051-EE213-2-PRAKTIKUM PENGUKURAN LISTRIK DAN ELEKTRONIKA","HSB+AHS","PRAKTIKUM","",""
"29","Tuesday","08:40","TE01-5","E5051-EE208-2-TECHNOPRENEURSHIP","BTM","","",""
"29","Tuesday","09:30","TE01-5","E5051-EE208-2-TECHNOPRENEURSHIP","BTM","","",""
"30","Tuesday","13:50","TE02-5","E5051-EE208-2-TECHNOPRENEURSHIP","BCH+AJI","","",""
"30","Tuesday","14:40","TE02-5","E5051-EE208-2-TECHNOPRENEURSHIP","BCH+AJI","","",""
"31","Tuesday","14:40","TE01-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","",""
"31","Tuesday","15:30","TE01-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","",""
"32","Wednesday","14:40","TE02-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","",""
"32","Wednesday","15:30","TE02-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","",""
"33","Wednesday","14:40","TE01-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR","","",""
"33","Wednesday","15:30","TE01-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR","","",""
"34","Thursday","09:30","TE02-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR","","",""
"34","Thursday","10:20","TE02-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR","","",""
"35","Thursday","08:40","TE01-5","E5051-EE307-2-METODE NUMERIK","DNK","","",""
"35","Thursday","09:30","TE01-5","E5051-EE307-2-METODE NUMERIK","DNK","","",""
"36","Thursday","07:00","TE02-5","E5051-EE307-2-METODE NUMERIK","DNK","","",""
"36","Thursday","07:50","TE02-5","E5051-EE307-2-METODE NUMERIK","DNK","","",""
"37","Wednesday","09:30","TE01-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","",""
"37","Wednesday","10:20","TE01-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","",""
"38","Tuesday","07:00","TE02-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","",""
"38","Tuesday","07:50","TE02-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","",""
"39","Monday","13:00","TE01-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","",""
"39","Monday","13:50","TE01-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","",""
"40","Wednesday","13:00","TE02-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","",""
"40","Wednesday","13:50","TE02-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","",""
"41","Thursday","13:00","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","",""
"41","Thursday","13:50","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","",""
"42","Monday","13:00","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","",""
"42","Monday","13:50","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","",""
"43","Monday","14:40","TE01-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","SSE+HLD","PRAKTIKUM","",""
"43","Monday","15:30","TE01-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","SSE+HLD","PRAKTIKUM","",""
"44","Monday","09:30","TE02-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+ELM","PRAKTIKUM","",""
"44","Monday","10:20","TE02-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+ELM","PRAKTIKUM","",""
"45","Monday","10:20","TE-TTE-7","E5051-EE403-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","MMS","","",""
"45","Monday","11:10","TE-TTE-7","E5051-EE403-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","MMS","","",""
"46","Monday","13:00","TE-TTE-7","E5051-EE407-2-PROTEKSI SISTEM TENAGA LISTRIK","BCH+MMS","","",""
"46","Monday","13:50","TE-TTE-7","E5051-EE407-2-PROTEKSI SISTEM TENAGA LISTRIK","BCH+MMS","","",""
"47","Thursday","07:50","TE-TTE-7","E5051-EE411-3-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+WAS","","",""
"47","Thursday","08:40","TE-TTE-7","E5051-EE411-3-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+WAS","","",""
"48","Tuesday","10:20","TE-TTE-7","E5051-EE415-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","",""
"48","Tuesday","11:10","TE-TTE-7","E5051-EE415-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","",""
"49","Monday","07:50","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","ERH+DDW","","",""
"49","Monday","08:40","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","ERH+DDW","","",""
"49","Monday","09:30","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","ERH+DDW","","",""
"50","Thursday","09:30","TE-TTE-7","E5051-EE505-3-PROTEKSI RELAI (P)","MMS","","",""
"50","Thursday","10:20","TE-TTE-7","E5051-EE505-3-PROTEKSI RELAI (P)","MMS","","",""
"50","Thursday","11:10","TE-TTE-7","E5051-EE505-3-PROTEKSI RELAI (P)","MMS","","",""
"51","Thursday","13:50","TE-TTE-7","E5051-EE509-2-ENERGI TERBARUKAN (P)","IWR","","",""
"51","Thursday","14:40","TE-TTE-7","E5051-EE509-2-ENERGI TERBARUKAN (P)","IWR","","",""
"52","Tuesday","13:00","TE-TTE-7","E5051-EE513-2-EKONOMI ENERGI (P)","YDM","","",""
"52","Tuesday","13:50","TE-TTE-7","E5051-EE513-2-EKONOMI ENERGI (P)","YDM","","",""
"53","Monday","14:40","TE-TTE-7","E5051-EE517-2-PENGGUNAAN KOMPUTER DALAM SISTEM TENAGA LISTRIK (P)","TSM","","",""
"53","Monday","15:30","TE-TTE-7","E5051-EE517-2-PENGGUNAAN KOMPUTER DALAM SISTEM TENAGA LISTRIK (P)","TSM","","",""
"54","Wednesday","13:00","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","",""
"54","Wednesday","13:50","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","",""
"54","Wednesday","14:40","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","",""
"55","Wednesday","07:50","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","",""
"55","Wednesday","08:40","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","",""
"55","Wednesday","09:30","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","",""
"56","Tuesday","14:40","TE-TTE-7","E5051-EE527-2-SISTEM CERDAS (P)","AGF","","",""
"56","Tuesday","15:30","TE-TTE-7","E5051-EE527-2-SISTEM CERDAS (P)","AGF","","",""
"57","Tuesday","08:40","TE-TTE-7","E5051-EE539-2-SCADA DAN MANAJEMEN ENERGI (P)","ERH","","",""
"57","Tuesday","09:30","TE-TTE-7","E5051-EE539-2-SCADA DAN MANAJEMEN ENERGI (P)","ERH","","",""
"58","Tuesday","09:30","TE-EK-7","E5051-EE401-2-PENGOLAHAN SINYAL DIGITAL","ARJ","","",""
"58","Tuesday","10:20","TE-EK-7","E5051-EE401-2-PENGOLAHAN SINYAL DIGITAL","ARJ","","",""
"59","Thursday","10:20","TE-EK-7","E5051-EE405-2-DEVAIS SISTEM KOMUNIKASI","ARJ","","",""
"59","Thursday","11:10","TE-EK-7","E5051-EE405-2-DEVAIS SISTEM KOMUNIKASI","ARJ","","",""
"60","Monday","10:20","TE-EK-7","E5051-EE409-2-SISTEM KOMUNIKASI OPTIK","ARJ","","",""
"60","Monday","11:10","TE-EK-7","E5051-EE409-2-SISTEM KOMUNIKASI OPTIK","ARJ","","",""
