"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"29","Thursday","08:40","TE01-5","E5051-EE208-2-TECHNOPRENEURSHIP","BTM","","B2-01-PTE",""
"29","Thursday","09:30","TE01-5","E5051-EE208-2-TECHNOPRENEURSHIP","BTM","","B2-01-PTE",""
"30","Tuesday","07:00","TE02-5","E5051-EE208-2-TECHNOPRENEURSHIP","BCH+BTM","","B2-04-EX KOMP",""
"30","Tuesday","07:50","TE02-5","E5051-EE208-2-TECHNOPRENEURSHIP","BCH+BTM","","B2-04-EX KOMP",""
"31","Thursday","16:20","TE01-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","B1-125-PTE",""
"31","Thursday","17:10","TE01-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","B1-125-PTE",""
"32","Wednesday","16:20","TE02-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","B2-03-PTOIR",""
"32","Wednesday","17:10","TE02-5","E5051-EE303-2-TEKNIK INSTALASI LISTRIK","IWR","","B2-03-PTOIR",""
"33","Wednesday","08:40","TE01-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","DNK+NFA","","B2-02-TE",""
"33","Wednesday","09:30","TE01-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","DNK+NFA","","B2-02-TE",""
"34","Wednesday","10:20","TE02-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR+MAR","","B2-02-TE",""
"34","Wednesday","11:10","TE02-5","E5051-EE305-2-DESAIN SISTEM DIGITAL","TSR+MAR","","B2-02-TE",""
"35","Thursday","10:20","TE01-5","E5051-EE307-2-METODE NUMERIK","DNK","","B2-01-PTE",""
"35","Thursday","11:10","TE01-5","E5051-EE307-2-METODE NUMERIK","DNK","","B2-01-PTE",""
"36","Thursday","08:40","TE02-5","E5051-EE307-2-METODE NUMERIK","DNK","","B2-02-TE",""
"36","Thursday","09:30","TE02-5","E5051-EE307-2-METODE NUMERIK","DNK","","B2-02-TE",""
"37","Thursday","07:00","TE01-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","B2-03-PTOIR",""
"37","Thursday","07:50","TE01-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","B2-03-PTOIR",""
"38","Thursday","13:00","TE02-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","B2-02-TE",""
"38","Thursday","13:50","TE02-5","E5051-EE309-2-SISTEM KOMUNIKASI","ARJ","","B2-02-TE",""
"39","Monday","13:00","TE01-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","B1-125-PTE",""
"39","Monday","13:50","TE01-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","B1-125-PTE",""
"40","Tuesday","10:20","TE02-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","B2-01-PTE",""
"40","Tuesday","11:10","TE02-5","E5051-EE311-2-METODOLOGI PENELITIAN","AGF+DDW","","B2-01-PTE",""
"41","Tuesday","07:00","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"41","Tuesday","07:50","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"41","Tuesday","08:40","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"41","Tuesday","09:30","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"41","Tuesday","10:20","TE01-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"42","Monday","07:50","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"42","Monday","08:40","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"42","Monday","09:30","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"42","Monday","10:20","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"42","Monday","11:10","TE02-5","E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","ERH+SLH","PRAKTIKUM","B1-03-TELKOM",""
"43","Wednesday","14:40","TE01-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","SSE+HLD","PRAKTIKUM","B2-01-PTE",""
"43","Wednesday","15:30","TE01-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","SSE+HLD","PRAKTIKUM","B2-01-PTE",""
"44","Monday","14:40","TE02-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+ELM","PRAKTIKUM","B1-125-PTE",""
"44","Monday","15:30","TE02-5","E5051-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","MSR+ELM","PRAKTIKUM","B1-125-PTE",""
"45","Monday","08:40","TE-TTE-7","E5051-EE403-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","MMS+WAS","","B2-02-TE",""
"45","Monday","09:30","TE-TTE-7","E5051-EE403-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","MMS+WAS","","B2-02-TE",""
"46","Monday","07:00","TE-TTE-7","E5051-EE407-2-PROTEKSI SISTEM TENAGA LISTRIK","BCH+MMS","","B2-03-PTOIR",""
